"INDI_ID","CSF","GM","WM","DGM","BS","Cerebellum"
28598,323218.96875,448984.96875,355083.96875,41491.99609375,22199.998046875,151229.984375
28571,218821.984375,613128.9375,451633.96875,40943.99609375,12814.9990234375,110819.9921875
28337,286055.96875,544685.9375,399154.96875,36736.99609375,20715.998046875,160105.984375
28431,320705,668259,527175,46899,23972,184544
28442,212367.984375,531527.9375,370204.96875,36911.99609375,17445.998046875,141508.984375
28373,232323,446560,355452,32957,15817,142123
28493,316768,586636,444736,39342,22484,174375
28475,401555.9375,465070.9375,494041.9375,38937.99609375,13597.998046875,102364.984375
28635,250163.984375,526080.9375,354291.96875,37046.99609375,18271.998046875,139520.984375
28534,284010.96875,542612.9375,492390.96875,41962.99609375,23904.998046875,180567.984375
28383,371073,494350,428655,34902,20420,132577
28418,393099,527087,468315,40977,17473,110317
28367,224987.984375,530215.9375,379384.96875,40168.99609375,21697.998046875,165373.984375
28624,297599,420874,424361,33982,8770,72794
28533,219198.96875,461193.9375,346257.96875,37856.99609375,20109.998046875,134190.984375
28539,282421,599080,465574,38582,22127,165476
28575,315718.96875,453110.96875,444655.96875,38811.99609375,12517.9990234375,101179.9921875
28629,337373.96875,403304.96875,430703.96875,34565.99609375,21957.998046875,149473.984375
28489,299426,439538,406272,33703,19388,149118
28640,250862.984375,572796.9375,386978.96875,39528.99609375,20820.998046875,158474.984375
28459,346673.96875,508078.96875,455578.96875,38793.99609375,20071.998046875,160014.984375
28484,348437.96875,474136.96875,484956.96875,51144.99609375,15772.9990234375,92623.9921875
28348,287179.96875,564423.9375,389770.96875,42470.99609375,20300.998046875,163217.984375
28517,275209.96875,639861.9375,475133.9375,39766.99609375,14630.998046875,136410.984375
28604,271242,594876,413675,42373,20599,170855
28607,286626,410595,395348,37135,9725,80846
28327,278329.96875,426186.96875,414542.96875,35299.99609375,20117.998046875,141044.984375
28601,333647.96875,540440.9375,485673.9375,39007.99609375,16887.998046875,101806.984375
28370,257705.96875,576281.9375,407024.9375,40086.99609375,18280.998046875,139243.984375
28507,303659,687430,472309,43629,23886,174162
28361,290966.96875,514109.96875,430674.96875,37417.99609375,19342.998046875,154521.984375
28449,253755,663728,462072,44539,21266,160868
28522,238040.984375,492279.96875,355894.96875,37569.99609375,20247.998046875,147047.984375
28514,292927.96875,581054.9375,421714.9375,38723.99609375,18744.998046875,176726.984375
28531,204507.984375,587515.9375,381612.96875,41805.99609375,21724.998046875,170752.984375
28551,257823,583451,439126,40480,20601,145392
28621,248268.96875,560928.9375,404350.9375,38836.99609375,20003.998046875,146505.984375
28513,260964.984375,592143.9375,412414.96875,40927.99609375,20749.998046875,163314.984375
28454,291454,571009,409491,38827,20252,150560
28538,315339,498860,415566,39420,20468,161469
28364,261044,561745,380591,40108,18800,146002
28390,256402.984375,623522.9375,428790.96875,44713.99609375,17292.998046875,143167.984375
28359,257332.96875,450828.9375,391928.96875,37435.99609375,19864.998046875,135528.984375
28430,340178.96875,415942.96875,461644.96875,36206.99609375,11904.9990234375,89194.9921875
28487,324829.96875,451876.96875,476203.96875,37562.99609375,12872.9990234375,73870.9921875
28563,232029.984375,497705.96875,418223.96875,34566.99609375,17648.998046875,151440.984375
28445,321275.96875,499109.96875,414133.96875,41367.99609375,14276.9990234375,87070.9921875
28453,290151.96875,391797.96875,421934.96875,40873.99609375,12584.9990234375,83492.9921875
28481,243341.984375,492772.96875,372405.96875,38831.99609375,9620.9990234375,74501.9921875
28465,243264,558021,402048,37293,11074,86809
28511,234377.984375,549294.9375,377623.96875,38447.99609375,10239.9990234375,75505.9921875
28443,286229.96875,550599.9375,395299.96875,40441.99609375,18383.998046875,148069.984375
28568,303099.96875,617237.9375,444363.9375,40691.99609375,22065.998046875,156340.984375
28552,262204.96875,500343.96875,369028.96875,37333.99609375,18731.998046875,145651.984375
28614,236646.984375,416006.96875,342036.96875,32434.998046875,11332.9990234375,73487.9921875
28417,236423,504021,345611,36896,16924,136833
28626,376056.96875,569715.9375,513261.96875,46510.99609375,27335.998046875,185694.984375
28393,301111.96875,502362.96875,428851.96875,40438.99609375,20425.998046875,163538.984375
28573,350652,552283,417998,35425,16916,134060
28415,225083.984375,529716.9375,396393.96875,41752.99609375,18759.998046875,144587.984375
28585,233837.984375,498344.96875,388618.96875,42570.99609375,22039.998046875,151525.984375
28386,207340.984375,533441.9375,383709.96875,38236.99609375,21859.998046875,146530.984375
28391,280209.96875,551168.9375,425260.96875,43004.99609375,12889.9990234375,88940.9921875
28384,235338,565096,422055,43020,22318,155689
28328,321659,635057,486853,41701,21870,180701
28353,287102.96875,473512.96875,393697.96875,33824.99609375,11405.9990234375,83130.9921875
28544,391936.96875,476053.96875,463352.96875,39127.99609375,21216.998046875,149688.984375
28469,268990,556599,481456,43791,15030,121001
28491,220721,504561,350066,37011,19070,148306
28506,218226.96875,211424.96875,301583.96875,40990.99609375,20072.998046875,82941.9921875
28355,268902,416878,338401,31079,7809,83667
28356,238705.96875,589318.9375,385463.96875,34967.99609375,17108.998046875,141226.984375
28455,309123.96875,470800.96875,418512.96875,35835.99609375,15111.9990234375,99724.9921875
28436,279688,381601,337244,30754,15980,104789
28478,316409,468869,458344,38935,15938,97312
28529,306513,405540,387996,36413,9130,81801
28466,345146.96875,511788.96875,436492.96875,36809.99609375,23923.998046875,173684.984375
28462,284152,586847,445555,37832,19790,165882
28452,298017,483617,359955,34291,19488,144204
28588,284271.96875,633129.9375,532968.9375,42426.99609375,11895.9990234375,92615.9921875
28525,329785,550026,426193,41582,22695,152882
28486,265819,594419,416291,44698,23906,175747
28371,286110.96875,640081.9375,463709.96875,46674.99609375,24799.998046875,193669.984375
28483,262943,506779,342530,33798,16950,149066
28634,249889.96875,526975.9375,397196.9375,40315.99609375,19746.998046875,141196.984375
28608,255886,537968,398636,37142,20751,158208
28458,299818,572099,430542,38050,18407,147997
28329,345303,601493,403830,38784,18329,154974
28338,236472.953125,540151.875,396943.9375,42431.9921875,21595.99609375,161825.96875
28341,251196,561500,394313,39151,18176,141625
28535,286742,389297,308526,31932,16151,114991
28553,224872,521314,369527,37906,19051,144161
28426,329836.96875,461404.9375,427332.9375,37581.99609375,20103.998046875,138036.984375
28623,243038.96875,530779.9375,393260.9375,40985.99609375,20356.998046875,150359.984375
28609,352710.96875,365757.96875,365904.96875,37064.99609375,10911.9990234375,69512.9921875
28502,332336.96875,433746.96875,454878.96875,39428.99609375,22094.998046875,144677.984375
28423,249666.984375,564458.9375,434629.96875,40411.99609375,17975.998046875,152604.984375
28627,266711.96875,548663.9375,395430.9375,37744.99609375,18741.998046875,145257.984375
28524,271770.96875,526691.9375,403431.9375,38974.99609375,22075.998046875,149752.984375
28402,337082.96875,459589.96875,385896.96875,34656.99609375,13795.9990234375,86899.9921875
28464,289565.96875,344571.96875,430186.9375,33240.99609375,15537.998046875,103642.984375
28595,292804,360916,417634,33915,10877,79359
28372,354074.96875,402795.96875,397708.96875,41512.99609375,21811.998046875,154973.984375
28330,218889,481578,325159,34318,17969,151268
28619,274216.96875,621751.9375,487087.96875,43207.99609375,20937.998046875,169195.984375
28485,247078.984375,463483.96875,442248.96875,41580.99609375,22998.998046875,178607.984375
28440,192121.984375,474869.96875,344990.96875,34538.99609375,12024.9990234375,84860.9921875
28536,330140.96875,465410.96875,496421.96875,40889.99609375,12651.9990234375,102763.9921875
28410,324433,436164,401866,48948,21255,152355
28501,303435.96875,434750.96875,386494.96875,33417.99609375,18491.998046875,146105.984375
28473,319025,531316,422613,40540,22013,165501
28347,369493.96875,478357.9375,450446.9375,38565.99609375,20812.998046875,159263.984375
28382,416990,409393,402534,42702,22056,145349
28583,299040.96875,380029.96875,383791.96875,38037.99609375,19143.998046875,147314.984375
28405,275939.96875,333997.96875,397046.96875,37164.99609375,10338.9990234375,78056.9921875
28395,371980,442461,450937,40859,13327,110963
28503,305764.96875,398204.96875,492356.96875,42733.99609375,20382.998046875,132594.984375
28610,365029.96875,503399.96875,530858.9375,44936.99609375,15794.9990234375,116583.9921875
28446,241789.984375,512982.96875,494984.96875,42132.99609375,11837.9990234375,80776.9921875
28433,364146,404705,379558,35568,21797,149138
28435,322925.96875,608877.9375,484820.96875,47126.99609375,25347.998046875,176478.984375
28597,287381.96875,543489.9375,445283.9375,41697.99609375,22606.998046875,174021.984375
28581,296726.96875,376027.96875,339965.96875,33977.99609375,17506.998046875,135159.984375
28540,313002.96875,486845.9375,384433.96875,36005.99609375,21189.998046875,140050.984375
28342,252020.984375,588495.9375,417399.96875,40364.99609375,22071.998046875,156294.984375
28637,229920,467583,362638,34659,16401,131352
28526,352352,642544,510962,45966,23639,158969
28472,298466,554975,421605,38070,20892,162903
28547,207377.984375,549088.9375,351490.96875,34887.99609375,15114.9990234375,119921.9921875
28406,343915.96875,538335.9375,453842.96875,39182.99609375,18234.998046875,131217.984375
28556,229266.984375,511932.96875,365074.96875,37593.99609375,15783.9990234375,130011.9921875
28422,248700.984375,598157.9375,409472.96875,39653.99609375,19311.998046875,140996.984375
