,dice-BG,dice-BS,dice-CRB,dice-CSF,dice-DGM,dice-GM,dice-WM,vol-BG,vol-BS,vol-CRB,vol-CSF,vol-DGM,vol-GM,vol-WM
28539,0.99773915843831273,0.9221349353049908,0.94491201699410543,0.85934136187354859,0.7677456936007323,0.93109770331215835,0.95312116062450059,8929971.0,21153.0,156518.0,236893.0,33520.0,604697.0,503008.0
28548,0.99734225102382068,0.91080054764795537,0.89342500745680786,0.9116117545436917,0.87702666908310212,0.94332844129275084,0.95646436196792806,9032439.0,19477.0,137697.0,274085.0,33706.0,532077.0,456279.0
28556,0.9973562257620695,0.88008856555432546,0.90796497971385859,0.8947082363563843,0.85842503056574415,0.95403146870618527,0.96416242474703917,9178772.0,15831.0,146285.0,227027.0,34382.0,508700.0,374763.0
28560,0.99733095118119108,0.88204910493172006,0.91755613401845704,0.92603581612720087,0.87644332300266037,0.95109731663197494,0.96343387941381786,9025915.0,20602.0,147545.0,313100.0,34689.0,501414.0,442495.0
28571,0.99333708856877723,0.59552915429107389,0.68569727897329058,0.8460687453809288,0.85584551414504728,0.93600071407850405,0.96080717190633969,8949736.0,19170.0,164701.0,222284.0,37458.0,641635.0,450776.0
28575,0.98826031881915188,0.62382414740585101,0.6430521329235287,0.82454849972528932,0.85619587298193089,0.85407077084462324,0.92503590879797137,8944270.0,18417.0,154877.0,361357.0,36012.0,465855.0,504972.0
28590,0.99753790779202367,0.84365224894833346,0.93216597650638044,0.91866158775897166,0.85622394611158659,0.938834579564231,0.95172956442502432,9192330.0,17044.0,143905.0,287444.0,35142.0,444731.0,365164.0
28591,0.99467304558228919,0.68747169811320752,0.73723776657811768,0.90427202705241405,0.77493883117404039,0.91069110215326843,0.9321064037259742,9149658.0,15860.0,124403.0,328665.0,37467.0,464487.0,365220.0
28597,0.99762397946861714,0.89114954221770093,0.94121530400442488,0.91437436728622945,0.86361382046619273,0.94693553434882738,0.95925597488250691,8990689.0,21628.0,162256.0,274681.0,36939.0,526925.0,472642.0
28603,0.99449686984817653,0.82067289100049723,0.81197506263002261,0.87521136061205362,0.86878859159070865,0.93010402551393878,0.95202056859820405,8782952.0,19947.0,170106.0,284736.0,39574.0,656692.0,531753.0
28604,0.99754661230674657,0.92215216271252975,0.92951998702915684,0.90354748688082021,0.84682387396485559,0.95489766658272779,0.96015989121385092,8994038.0,20160.0,156032.0,256230.0,36843.0,584553.0,437904.0
28608,0.99783502545150304,0.92246179507935344,0.94356869876401539,0.8796260225944682,0.82914142160484705,0.93428777529010776,0.94832580303522784,9099950.0,20016.0,150291.0,219009.0,30528.0,530859.0,435107.0
28621,0.99788999200620987,0.89578074287774978,0.94453486740564052,0.89453954428480642,0.88324267129698708,0.95462879313619176,0.96700459066564648,9084726.0,18818.0,138574.0,231636.0,34880.0,565909.0,411217.0
28631,0.99745091977121658,0.90041525488497698,0.92800437275065117,0.90951083485887008,0.88133054056678362,0.95226292298243276,0.96555542060077604,9050317.0,19739.0,157582.0,282261.0,34581.0,543447.0,397833.0
28634,0.99798176323517807,0.89229063844387557,0.94174382716049387,0.91036077043462249,0.86337123350267453,0.95403981659905834,0.9621462499525496,9131724.0,18142.0,133555.0,238925.0,34090.0,509878.0,419446.0
28635,0.9979367451686213,0.91449667455754702,0.94392988308970927,0.90176561401172639,0.87506104743026225,0.95692270447341143,0.96285963382737572,9183449.0,17212.0,133851.0,230462.0,32571.0,531367.0,356848.0
